Date,Time,Strike,CE OI Open,PE OI Open
2026-07-11,21:42:48,23700,262665,7091500
2026-07-11,21:42:48,23750,50765,3519230
2026-07-11,21:42:48,23800,569660,8819525
2026-07-11,21:42:48,23850,315965,3295110
2026-07-11,21:42:48,23900,892385,6542445
2026-07-11,21:42:48,23950,354900,3748225
2026-07-11,21:42:48,24000,3261700,10527205
2026-07-11,21:42:48,24050,931710,3364465
2026-07-11,21:42:48,24100,2798315,7989800
2026-07-11,21:42:48,24150,4478305,7910175
2026-07-11,21:42:48,24200,9405435,10295285
2026-07-11,21:42:48,24250,5635760,3480880
2026-07-11,21:42:48,24300,9400950,2455115
2026-07-11,21:42:48,24350,3020810,466375
2026-07-11,21:42:48,24400,6469320,1168505
2026-07-11,21:42:48,24450,3409055,290225
2026-07-11,21:42:48,24500,14069965,3425955
2026-07-11,21:42:48,24550,3255330,73385
2026-07-11,21:42:48,24600,7805005,428935
2026-07-11,21:42:48,24650,3286985,61230
2026-07-11,21:42:48,24700,8442005,160225
